Switzerland,8.8
Austria,8.1
Germany,7.9
Ireland,7.9
United Kingdom,7.6
Sweden,6.6
Estonia,6.5
Canada,6.1
Norway,5.8
Poland,5.7
Belgium,5.6
Finland,5.4
Slovakia,5.2
The Netherlands,5.1
New Zealand,5
Denmark,4.9
Australia,4.9
Russia,4.8
United States,4.4
France,4.3
Greece,2.6
Italy,2.4
Spain,2
Brazil,1.2
Japan,1.2
Portugal,1.1
China,0.1
